Topic name,Criticality,Module it will send to,Frequency (Hz),Byte,Byterate
sensing/lidar/right/pointcloud,Time-Critical-Large,Localization/Vehicle/System,20,1M,20MB/s
sensing/lidar/top/pointcloud,Time-Critical-Large,Localization/Vehicle/System,20,1M,20MB/s
perception/object_recognition/detection/centerpoint/objects,Critical,Control/Planning,20,0.3K,6KB/s
perception/object_recognition/detection/detection_by_tracker/objects,Critical,Control/Planning,20,0.05K,1KB/s
perception/object_recognition/detection/objects,Critical,Control/Planning,20,0.05K,1KB/s
perception/object_recognition/objects,Critical,Control/Planning,20,0.05K,1KB/s
perception/object_recognition/tracking/objects,Critical,Control/Planning,20,0.05K,1KB/s
perception/obstacle_segmentation/objects,Critical,Control/Planning,20,0.05K,1KB/s
perception/traffic_light_recognition/judged/traffic_signals,Critical,Control/Planning,20,0.05K,1KB/s
perception/traffic_light_recognition/traffic_signals,Critical,Control/Planning,20,0.05K,1KB/s
perception/object_recognition/prediction/maneuver,Time-Critical-Small,Control/Planning,20,0.05K,1KB/s
perception/occupancy_grid_map/map,Time-Critical-Small,Control/Planning,20,0.05K,1KB/s
perception/object_recognition/detection/objects_before_filter/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/obstacle_pointcloud_based_validator/debug/pipeline_latency_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/pointcloud_map_filtered/pointcloud/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/temporary_merged_objects/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/voxel_based_compare_map_filter/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/voxel_based_compare_map_filter/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/objects/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/prediction/map_based_prediction/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/prediction/map_based_prediction/debug/processing_time_detail_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/prediction/map_based_prediction/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/input_latency_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/meas_to_tracked_object_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/objects_markers,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/pipeline_latency_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/processing_latency_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/objects/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/crop_box_filter/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/crop_box_filter/debug/pipeline_latency_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/crop_box_filter/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/occupancy_grid_map_outlier_filter/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/occupancy_grid_map_outlier_filter/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/pointcloud_map_filtered/downsampled/pointcloud/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/range_cropped/pointcloud/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/scan_ground_filter/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/scan_ground_filter/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/single_frame/pointcloud/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/obstacle/downsample/pointcloud/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/obstacle_pc_downsample_filter/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/obstacle_pc_downsample_filter/debug/pipeline_latency_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/obstacle_pc_downsample_filter/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/pipeline_latency_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/raw/downsample/pointcloud/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/raw_pc_downsample_filter/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/raw_pc_downsample_filter/debug/pipeline_latency_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/raw_pc_downsample_filter/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/crosswalk_traffic_light_estimator/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/classification/car_traffic_light_classifier/output/debug/image,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/classification/car_traffic_light_classifier/output/debug/image/compressed,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/classification/car_traffic_light_classifier/output/debug/image/compressedDepth,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/classification/car_traffic_light_classifier/output/debug/image/theora,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/classification/pedestrian_traffic_light_classifier/output/debug/image,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/classification/pedestrian_traffic_light_classifier/output/debug/image/compressed,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/classification/pedestrian_traffic_light_classifier/output/debug/image/compressedDepth,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/classification/pedestrian_traffic_light_classifier/output/debug/image/theora,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/debug/rois,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/debug/rois/compressed,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/debug/rois/compressedDepth,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/debug/rois/theora,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light/detection/traffic_light_map_based_detector/debug/markers,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/traffic_light_recognition/traffic_light_map_based_detector/debug/markers,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/pipeline_latency_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/centerpoint/objects/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/centerpoint/validation/objects/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/debug/clusters,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/objects/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/objects_with_feature/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/shape_estimation/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/shape_estimation/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/pipeline_latency_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/debug/downsampled_map/pointcloud,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/debug/divided_objects,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/debug/initial_objects,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/debug/merged_objects,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/debug/tracked_objects,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/objects/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/object_association_merger/debug/cyclic_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/object_association_merger/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/object_lanelet_filter/debug/pipeline_latency_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/objects/debug/published_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
perception/virtual_traffic_light_states,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
