localization/kinematic_state,Critical,Control/Planning,50,0.7K,35KB/s
perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/centerpoint/objects/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/centerpoint/validation/objects/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/clustering/debug/clusters,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/clustering/objects_with_feature/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/clustering/objects/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/clustering/shape_estimation/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/clustering/shape_estimation/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/debug/downsampled_map/pointcloud,Less-Critical,Vehicle/System,0,0.1K,0
perception/object_recognition/detection/detection_by_tracker/debug/divided_objects,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/detection_by_tracker/debug/initial_objects,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/detection_by_tracker/debug/merged_objects,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/detection_by_tracker/debug/tracked_objects,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/detection_by_tracker/objects/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/object_association_merger/debug/cyclic_time_ms,Less-Critical,Vehicle/System,20,0.1K,2KB/s
perception/object_recognition/detection/object_association_merger/debug/processing_time_ms,Less-Critical,Vehicle/System,20,0.1K,2KB/s
perception/object_recognition/detection/object_lanelet_filter/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/object_lanelet_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/objects_before_filter/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/objects/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/obstacle_pointcloud_based_validator/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/pointcloud_map_filtered/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/temporary_merged_objects/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/voxel_based_compare_map_filter/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/voxel_based_compare_map_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/objects/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/prediction/map_based_prediction/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/prediction/map_based_prediction/debug/processing_time_detail_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/prediction/map_based_prediction/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/input_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/meas_to_tracked_object_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/objects_markers,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/processing_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/tracking/objects/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/obstacle_segmentation/crop_box_filter/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/obstacle_segmentation/crop_box_filter/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/obstacle_segmentation/crop_box_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/obstacle_segmentation/occupancy_grid_map_outlier_filter/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/obstacle_segmentation/occupancy_grid_map_outlier_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/obstacle_segmentation/pointcloud_map_filtered/downsampled/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/obstacle_segmentation/range_cropped/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/obstacle_segmentation/scan_ground_filter/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/obstacle_segmentation/scan_ground_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/obstacle_segmentation/single_frame/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/traffic_light_recognition/crosswalk_traffic_light_estimator/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/traffic_light_recognition/traffic_light/classification/car_traffic_light_classifier/output/debug/image,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/traffic_light_recognition/traffic_light/classification/car_traffic_light_classifier/output/debug/image/compressed,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/traffic_light_recognition/traffic_light/classification/car_traffic_light_classifier/output/debug/image/compressedDepth,Less-Critical,Vehicle/System,0,0.1K,0
perception/traffic_light_recognition/traffic_light/classification/car_traffic_light_classifier/output/debug/image/theora,Less-Critical,Vehicle/System,30,0.1K,3KB/s
perception/traffic_light_recognition/traffic_light/classification/pedestrian_traffic_light_classifier/output/debug/image,Less-Critical,Vehicle/System,0,0.1K,0
perception/traffic_light_recognition/traffic_light/classification/pedestrian_traffic_light_classifier/output/debug/image/compressed,Less-Critical,Vehicle/System,0,0.1K,0
perception/traffic_light_recognition/traffic_light/classification/pedestrian_traffic_light_classifier/output/debug/image/compressedDepth,Less-Critical,Vehicle/System,0,0.1K,0
perception/traffic_light_recognition/traffic_light/classification/pedestrian_traffic_light_classifier/output/debug/image/theora,Less-Critical,Vehicle/System,0,0.1K,0
perception/traffic_light_recognition/traffic_light/debug/rois/compressedDepth,Less-Critical,Vehicle/System,0,0.1K,0
perception/traffic_light_recognition/traffic_light/debug/rois/theora,Less-Critical,Vehicle/System,5,0.1K,0.5KB/s
perception/traffic_light_recognition/traffic_light/detection/traffic_light_fine_detector/debug/exe_time_ms,Less-Critical,Vehicle/System,0,0.1K,0
perception/traffic_light_recognition/traffic_light/detection/traffic_light_map_based_detector/debug/markers,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/concatenate_data_synchronizer/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/concatenate_data_synchronizer/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/concatenate_data_synchronizer/debug/sensing/lidar/top/pointcloud_before_sync/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/left/debug/ring_outlier_filter,Less-Critical,Vehicle/System,0,0.1K,0
sensing/lidar/left/ring_outlier_filter/debug/visibility,Less-Critical,Vehicle/System,0,0.1K,0
sensing/lidar/right/debug/ring_outlier_filter,Less-Critical,Vehicle/System,0,0.1K,0
sensing/lidar/right/ring_outlier_filter/debug/visibility,Less-Critical,Vehicle/System,0,0.1K,0
sensing/lidar/top/crop_box_filter_mirror/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/crop_box_filter_mirror/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/crop_box_filter_mirror/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/crop_box_filter_self/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/crop_box_filter_self/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/crop_box_filter_self/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/debug/ring_outlier_filter,Less-Critical,Vehicle/System,0,0.1K,0
sensing/lidar/top/distortion_corrector/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/distortion_corrector/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/distortion_corrector/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/mirror_cropped/pointcloud_ex/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/pointcloud_before_sync/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/ring_outlier_filter/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/ring_outlier_filter/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/ring_outlier_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
sensing/lidar/top/ring_outlier_filter/debug/visibility,Less-Critical,Vehicle/System,0,0.1K,0
sensing/lidar/top/self_cropped/pointcloud_ex/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/traffic_light_recognition/traffic_light/debug/rois,Sensor,Vehicle/System,5,6M,30MB/s
perception/traffic_light_recognition/traffic_light/debug/rois/compressed,Sensor,Vehicle/System,5,0.5M,2.5MB/s
sensing/camera/traffic_light/image_raw,Sensor,Vehicle/System,10,6M,60MB/s
sensing/lidar/concatenated/pointcloud,Sensor,Vehicle/System,10,0.4M,4MB/s
sensing/lidar/left/pointcloud,Sensor,Vehicle/System,0,0.4M,0
sensing/lidar/right/pointcloud,Sensor,Vehicle/System,0,0.4M,0
sensing/lidar/top/pointcloud,Sensor,Vehicle/System,10,0.4M,4MB/s
sensing/lidar/top/pointcloud_raw,Sensor,Vehicle/System,10,0.4M,4MB/s
